5
ENSGALG00000011847	TTC26	protein_coding
ENSGALG00000011854	UBN2	protein_coding
ENSGALG00000011856	C7ORF55	protein_coding
ENSGALG00000011857	LUC7L2	protein_coding
ENSGALG00000011859	GBE	protein_coding
